Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH8
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,DIGITAL
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-09,,Sample Interval,4.00000000e-09,,Sample Interval,4.00000000e-09
Record Length,16056,,Record Length,16056,,Record Length,16056
Zero Index,53.96000000,,Zero Index,53.96000000,,Zero Index,53.96000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,None
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,

TIME,CH1,CH2,CH8_D7,CH8_D6,CH8_D5,CH8_D4,CH8_D3,CH8_D2,CH8_D1,CH8_D0
-2.15840000e-07,-3.31250000e-02,7.93750000e-02,1,0,0,0,0,0,0,0
-2.11840000e-07,-3.02500000e-01,3.13437500e-01,1,0,0,0,0,0,0,0
-2.07840000e-07,-1.56250000e-03,4.33125000e-01,1,0,0,0,0,0,0,0
-2.03840000e-07,1.95625000e-01,2.33750000e+00,1,0,0,0,0,0,0,0
-1.99840000e-07,-2.14687500e-01,3.42468750e+00,1,0,0,0,0,0,0,0
-1.95840000e-07,6.50000000e-02,3.41968750e+00,1,0,0,0,0,0,0,0
-1.91840000e-07,3.57812500e-01,2.74625000e+00,1,0,0,0,0,0,0,0
-1.87840000e-07,-2.37812500e-01,3.18625000e+00,1,0,0,0,0,0,0,0
-1.83840000e-07,2.46875000e-02,1.09687500e-01,0,0,0,1,0,0,0,0
-1.79840000e-07,1.50000000e-01,5.31250000e-02,0,0,0,1,0,0,0,0
-1.75840000e-07,-1.75000000e-02,4.68750000e-03,0,0,0,1,0,0,0,0
-1.71840000e-07,-1.35625000e-01,5.83437500e-01,0,0,0,1,0,0,0,0
-1.67840000e-07,3.24687500e-01,1.15187500e+00,0,0,0,1,0,0,0,0
-1.63840000e-07,-1.10937500e-01,3.33812500e+00,0,0,0,1,0,0,0,0
-1.59840000e-07,5.21875000e-02,3.33218750e+00,0,0,0,1,0,0,0,0
-1.55840000e-07,3.80312500e-01,2.91125000e+00,0,0,0,1,0,0,0,0
-1.51840000e-07,5.93750000e-03,2.99125000e+00,0,0,0,1,0,0,0,0
-1.47840000e-07,-5.77187500e-01,3.77187500e-01,1,1,1,1,1,1,1,1
-1.43840000e-07,4.85625000e-01,-3.43750000e-02,1,1,1,1,1,1,1,1
-1.39840000e-07,2.33750000e-01,1.95625000e-01,1,1,1,1,1,1,1,1
-1.35840000e-07,-1.95625000e-01,5.93125000e-01,1,1,1,1,1,1,1,1
-1.31840000e-07,2.15312500e-01,4.87500000e-02,1,1,1,1,1,1,1,1
