Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH8
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,DIGITAL
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-09,,Sample Interval,4.00000000e-09,,Sample Interval,4.00000000e-09,,Sample Interval,4.00000000e-09
Record Length,16002,,Record Length,16002,,Record Length,16002,,Record Length,16002
Zero Index,-2399088.16000000,,Zero Index,-2399088.16000000,,Zero Index,-2399088.16000000,,Zero Index,-2399088.16000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,None
,,,,,,,,,,
ANALOG_Thumbnail,CH1_DECI,,ANALOG_Thumbnail,CH2_DECI,,ANALOG_Thumbnail,CH3_DECI,,,

TIME,CH1,CH2,CH3,CH8_D7,CH8_D6,CH8_D5,CH8_D4,CH8_D3,CH8_D2,CH8_D1,CH8_D0
9.59635264e-03,-9.56250000e-02,2.36562500e+00,3.47000000e+00,1,0,0,0,0,0,0,0
9.59635664e-03,3.25062500e+00,-1.11875000e-01,3.23500000e+00,1,0,0,0,0,0,0,0
9.59636064e-03,2.59750000e+00,2.15312500e-01,3.18500000e+00,1,0,0,0,0,0,0,0
9.59636464e-03,2.70125000e+00,3.50625000e-01,3.32000000e+00,1,0,0,0,0,0,0,0
9.59636864e-03,3.01750000e+00,2.12500000e-01,3.45500000e+00,1,0,0,0,0,0,0,0
9.59637264e-03,2.81750000e+00,2.49343750e+00,3.13000000e+00,1,0,0,0,0,0,0,0
9.59637664e-03,2.70000000e+00,3.33093750e+00,3.46500000e+00,1,0,0,0,0,0,0,0
9.59638064e-03,3.10750000e+00,3.23031250e+00,3.46500000e+00,1,0,0,0,0,0,0,0
9.59638464e-03,3.08250000e+00,2.91531250e+00,3.25000000e+00,1,0,0,0,0,0,0,0
9.59638864e-03,2.61500000e+00,3.11093750e+00,3.43500000e+00,1,0,0,0,0,0,0,0
9.59639264e-03,3.00750000e+00,-4.78125000e-02,3.46000000e+00,0,0,0,1,0,0,0,0
9.59639664e-03,2.96500000e+00,1.43750000e-02,3.12000000e+00,0,0,0,1,0,0,0,0
9.59640064e-03,2.71687500e+00,9.50000000e-02,3.27000000e+00,0,0,0,1,0,0,0,0
9.59640464e-03,2.90000000e+00,1.97812500e-01,3.49500000e+00,0,0,0,1,0,0,0,0
9.59640864e-03,3.01750000e+00,1.25281250e+00,3.16000000e+00,0,0,0,1,0,0,0,0
9.59641264e-03,2.59000000e+00,3.39781250e+00,3.36000000e+00,0,0,0,1,0,0,0,0
9.59641664e-03,3.10750000e+00,3.06906250e+00,3.50500000e+00,0,0,0,1,0,0,0,0
9.59642064e-03,3.06500000e+00,3.02187500e+00,3.37000000e+00,0,0,0,1,0,0,0,0
9.59642464e-03,2.65750000e+00,3.15125000e+00,3.29000000e+00,0,0,0,1,0,0,0,0
9.59642864e-03,2.52500000e-01,3.91875000e-01,3.69500000e+00,1,0,0,0,0,0,0,0
9.59643264e-03,8.87500000e-02,1.53125000e-02,3.12000000e+00,1,0,0,0,0,0,0,0
9.59643664e-03,-4.08125000e-01,-9.03125000e-02,3.20000000e+00,1,0,0,0,0,0,0,0
9.59644064e-03,1.80000000e-01,3.05000000e-01,3.36000000e+00,1,0,0,0,0,0,0,0
9.59644464e-03,2.62500000e-01,3.95312500e-01,3.38500000e+00,1,0,0,0,0,0,0,0
9.59644864e-03,-1.28750000e-01,3.33156250e+00,3.18500000e+00,1,0,0,0,0,0,0,0
9.59645264e-03,1.06250000e-01,3.13500000e+00,3.39500000e+00,1,0,0,0,0,0,0,0
9.59645664e-03,1.21250000e-01,3.18312500e+00,3.40000000e+00,1,0,0,0,0,0,0,0
9.59646064e-03,-1.87500000e-02,3.21531250e+00,3.16500000e+00,1,0,0,0,0,0,0,0
9.59646464e-03,1.87500000e-02,1.01218750e+00,3.42500000e+00,0,0,0,1,0,0,0,0
9.59646864e-03,1.33125000e-01,-6.87500000e-02,3.24500000e+00,0,0,0,1,0,0,0,0
9.59647264e-03,-3.16250000e-01,3.08750000e-01,3.14000000e+00,0,0,0,1,0,0,0,0
9.59647664e-03,-1.43750000e-01,3.73437500e-01,3.24000000e+00,0,0,0,1,0,0,0,0
9.59648064e-03,1.43750000e-01,3.02187500e-01,3.29500000e+00,0,0,0,1,0,0,0,0
9.59648464e-03,-1.18750000e-01,3.24187500e+00,3.18500000e+00,0,0,0,1,0,0,0,0
9.59648864e-03,-6.12500000e-02,3.28000000e+00,3.46500000e+00,0,0,0,1,0,0,0,0
9.59649264e-03,9.87500000e-02,3.42156250e+00,3.39000000e+00,0,0,0,1,0,0,0,0
9.59649664e-03,6.12500000e-02,3.08062500e+00,3.25500000e+00,0,0,0,1,0,0,0,0
9.59650064e-03,-1.21250000e-01,2.65562500e+00,3.44000000e+00,0,0,0,0,0,0,0,0
9.59650464e-03,2.00625000e-01,-4.34375000e-02,3.34000000e+00,1,0,0,0,0,0,0,0
9.59650864e-03,-1.93750000e-01,2.26875000e-01,3.17000000e+00,1,0,0,0,0,0,0,0
9.59651264e-03,-1.31250000e-01,2.63125000e-01,3.15500000e+00,1,0,0,0,0,0,0,0
9.59651664e-03,1.18750000e-01,1.77812500e-01,3.43500000e+00,1,0,0,0,0,0,0,0
9.59652064e-03,-1.87500000e-02,2.55031250e+00,3.21000000e+00,1,0,0,0,0,0,0,0
9.59652464e-03,-9.87500000e-02,3.34343750e+00,3.40500000e+00,1,0,0,0,0,0,0,0
9.59652864e-03,2.67500000e-01,3.13593750e+00,3.48000000e+00,1,0,0,0,0,0,0,0
9.59653264e-03,1.69375000e-01,3.02312500e+00,3.34000000e+00,1,0,0,0,0,0,0,0
9.59653664e-03,-1.16250000e-01,3.04625000e+00,3.37500000e+00,1,0,0,0,0,0,0,0
9.59654064e-03,1.18750000e-01,-6.40625000e-02,3.47500000e+00,0,0,0,1,0,0,0,0
